,fluxes
R_13BGH,0.0
R_13BGHe,0.0
R_ASADi,0.0021907869972753154
R_2DDA7Ptm,0.0
R_2DHPtm,0.0
R_2OHPH_5tn,0.0
R_2OMPH_5tm,0.0
R_2OMPH_5tn,0.0
R_ASPKi,0.0021907869972753154
R_34HPPOR,0.0
R_34HPPt2m,0.40137338203761747
R_34HPPt2p,0.0
R_13GS,0.011641912294614627
R_3C4MOPtm,0.0
R_3DSPHR,0.0
R_3HAO,0.0
R_GLCS2,0.0
R_SBTD_D2,0.0
R_3OPHB_5tm,0.0
R_4ABUTNtm,0.0
R_4ABUTtm,0.0
R_4ABZtm,0.0
R_4H2OGLTtm,0.0
R_4H2OGLTtp,0.0
R_4HBZtm,0.0
R_4HPRO_LTtm,0.0
R_4HTHRS,0.0
R_5AOPt2,0.0
R_5AOPtm,0.0
R_5MTHFtm,0.0
R_6PGLter,-0.0056502048019031045
R_8AONNt2,0.0
R_AABTN,0.0
R_AASAD1,0.0
R_TRE6PP,8.466288766356427e-05
R_ABTA,0.0
R_ABTt,0.0
R_ABUTDm,0.0
R_ABUTt2,0.0
R_TRE6PS,8.466288766356427e-05
R_ACACT1m,0.0
R_ACACT4p,0.0
R_ACACT5p,0.0
R_ACACT6p,0.0
R_ACACT7p,0.0
R_ACACT8p,0.0
R_ACACT9p,0.0
R_PC,0.012710727861176448
R_ACGAM6PS,0.010716783072817803
R_ACGAMPM,0.010716783072817803
R_ACGKm,0.002116956612015367
R_ACGSm,0.0
R_ACOTAim,0.002116956612015367
R_AGPRim,0.002116956612015367
R_ACOAH,0.0
R_ACOAO4p,0.0
R_ACOAO5p,0.0
R_ACOAO6p,0.0
R_ACOAO7p,0.0
R_ACOAO8p,0.0
R_ACOAO9p,0.0
R_ACOATA,0.0
R_ACOATAm,0.0
R_ACONT,0.0
R_ACONTm,0.7064650986268186
R_ARGSL,0.0008179837689018967
R_ACP1e,0.0
R_ACRNtm,0.0
R_ACRNtp,0.0
R_ARGSSr,0.0008179837689018967
R_ACSm,0.0
R_ACSp,0.0
R_ACt2r,-0.00015300285487098114
R_ACtm,0.0
R_ACtp,0.0
R_ADCL,0.0
R_ADCS,0.0
R_ADEt2,0.0
R_ADEtm,0.0
R_ADHAPR_SC,0.0
R_ADK1,0.0
R_ADK1m,0.0
R_ADK3,0.0
R_ADK3m,0.0
R_ADK4,0.019564162212489973
R_ADK4m,0.0
R_ADMDC,0.0
R_ADNCYC,0.0
R_ADNK1,0.010596005550247414
R_ADNUC,0.0
R_ADNt2,0.0
R_ADPT,0.0
R_CBPS,0.0024975680227335684
R_ADSL1r,0.0011309394263064622
R_ADSL2r,0.001557418562768773
R_ADSS,0.0011309394263064622
R_G5SADr,0.0012989728431134703
R_G5SD2,0.0
R_AGT,0.0
R_AHCYStm,0.0
R_AHCYStn,0.0
R_AHCi,0.010596005550247414
R_AHMMPS,0.0
R_AHSERL,0.0
R_GLU5K,0.0
R_AICART,0.0018757799664774373
R_AIRCr,0.001557418562768773
R_AKGDam,0.7000053157294803
R_AKGDbm,0.7000053157294803
R_AKGMAL,0.0
R_AKGt2n,0.0
R_AKGt2r,0.0
R_AKP1,0.0
R_ALASm,0.0
R_ALATA_L,-0.0042997115796406
R_ALATA_Lm,0.0
R_ALATRS,0.0
R_ALAt2r,0.0
R_ALCD19y,0.0
R_ALCD2m,0.0
R_ALCD2x,-0.1847472183059606
R_ALDD19x,0.0
R_ALDD20xm,0.0
R_ALDD20y,0.0
R_ALDD20ym,0.0
R_ALDD2xm,0.0
R_ALDD2y,0.0
R_ALDD2ym,0.0
R_ALLTAHr,0.0
R_ALLTNr,0.0
R_ALLTNti,0.0
R_ALLTTti,0.0
R_ALPHNH,0.0
R_AM6SAD,0.0
R_AMAOTr,0.0
R_AMETt2,0.0
R_AMETtm,0.0
R_AMETtn,0.0
R_AMID,0.0
R_AMID2,0.0
R_AMID3,0.0
R_AMPDA,0.0
R_AMPN,0.0
R_OCBTi,0.0008179837689018967
R_ORNTACim,0.002116956612015367
R_AP4AHr,0.0
R_APRAUR,0.0
R_APRTO2,0.0
R_ARAB1D1,0.0
R_ARAB1D2,0.0
R_ARABR,0.0
R_ARAB_Dt,0.0
R_ARAB_Lt,0.0
R_ARGN,0.0
R_P5CR,0.0012989728431134703
R_r156,0.0
R_r157,0.04527918681171651
R_ARGTRS,0.0
R_ARGTRSm,0.0
R_ARGt2m,0.0
R_ARGt2r,0.0
R_ARMT,0.0
R_CSm,0.7064650986268186
R_ASNS1,0.0011902868563655779
R_ASNTRS,0.0
R_ASNTRSm,0.0
R_ASNt2m,0.0
R_ASNt2r,0.0
R_ASP1DC,0.0
R_ICDHxm,0.2201070157571127
R_ASPGLUtp,0.0
R_ICDHym,0.07783551469517412
R_ASPTA,-0.009757286721815275
R_ASPTAm,0.0
R_ASPTAp,0.0
R_ASPTRS,0.0
R_ASPTRSm,0.0
R_ASPt2m,0.0
R_ATPCitL,0.0
R_ASPt2r,0.0
R_ATP2tp_H,0.0
R_ATPATF1,0.0
R_ATPATF2,0.0
R_ATPATF3,0.0
R_ATPM,5.029999999999999
R_ATPPRT,0.00031836140370866434
R_ADSK,0.00015300285487098114
R_ATPS3g,0.0
R_BPNT,0.00015300285487098114
R_ATPS3v,0.0
R_CYSS,2.352507318046699e-05
R_ATPtp_H,0.0
R_PAPSR,0.00015300285487098114
R_BTNt2i,0.0
R_BTSr,0.0
R_SERATi,2.352507318046699e-05
R_C22STDS,0.0
R_SLFAT,0.00015300285487098114
R_SULR,-0.00015300285487098114
R_ACACT1,-0.05442127948297216
R_ACCOACr,0.13374532572062273
R_DESAT16,0.0029335429569480194
R_DESAT18,0.007058933748802469
R_DESAT18_2,0.0027277973966645273
R_C5STDS,0.0
R_C8STI,0.0
R_CAT,0.0
R_CATp,0.0
R_CBASPtn,0.0
R_FAS100COA,0.018648726800604948
R_CBPSn,0.0
R_FAS120COA,0.01831097861365747
R_CDPDGPm_SC,0.0
R_CDPtn,0.0
R_CERH124,0.0
R_CERH126,0.0
R_CERS124,0.0
R_CERS126,0.0
R_CERS224,0.0
R_CERS226,0.0
R_CERS2_24,0.0
R_CERS2_26,0.0
R_CERS324,0.0
R_CERS326,0.0
R_CHLPCTD,0.0
R_FAS140COA,0.017297734052815036
R_CHLt2,0.0
R_CHOLK,0.0
R_FAS160COA,0.007676280384424848
R_FAS180COA,0.0
R_CHRPL,0.0
R_CHTNDA,0.0
R_CHTNS,0.010716783072817803
R_CITt2r,0.0
R_FAS80COA_L,0.018648726800604948
R_CITtap,0.0
R_CITtbm,0.0
R_CITtcm,0.4085225681745318
R_CITtcp,0.0
R_CLPNSm_SC,0.0
R_CMPN,0.0
R_CMPtm,0.0
R_DHFRi,0.0
R_CO2tg,0.0
R_FTHFL,0.0
R_CO2tn,0.0
R_CO2tp,0.0
R_CO2tv,0.0
R_CPPPGO,0.0
R_CRNCARtm,0.0
R_CRNCARtp,0.0
R_CRNt,0.0
R_CRNtim,0.0
R_CRNtp,0.0
R_CSNAT,0.0
R_CSNATifm,0.0
R_CSNATirm,0.0
R_CSNATirp,0.0
R_CSND,0.0
R_CSNt2,0.0
R_CSp,0.0
R_CTPS1,6.692789048957972e-05
R_CTPS2,0.0
R_MAN1PT,0.002910467749792726
R_CYSTGL,0.0
R_CYSTL,0.0
R_CYSTLp,0.0
R_CYSTRS,0.0
R_CYSTS,0.0
R_CYSTtp,0.0
R_CYSt2r,0.0
R_CYTD,0.0
R_CYTDK2,0.0
R_CYTDt2,0.0
R_CYTK1,0.0062314703743652
R_CYTK2,0.0
R_DADK,-0.0007477363253591037
R_DADNt2,0.0
R_DADPtn,0.0
R_DAGCPT_SC,0.0
R_MAN6PI,-0.002910467749792726
R_DANNt2,0.0
R_PMANM,-0.002910467749792726
R_DASYNm_SC,0.0
